#Re    B    Pe    lb    ub    ux_rms    ux_err    uy_rms    uy_err    uz_rms    uz_err    vortz_rms    vortz_err    brms    brms_err    tdisp    tdisp_err    mdisp    mdisp_err    vturb    vturb_err    turb_uzrms    turb_uzrms_err    lam_uzrms    lam_uzrms_err    turb_brms    turb_brms_err    lam_brms    lam_brms_err    
# Index 000
1.0000e+03    1.0000e+02    1.0000e+01    3.5000e+01    7.0000e+01    2.2663e+00    2.3541e-01    1.2161e+00    1.6203e-01    2.4979e-01    3.2429e-02    9.1582e+00    1.3135e+00    2.6264e-02    4.7633e-03    2.4810e-02    5.6951e-03    3.8210e+02    8.5888e+01    3.7552e-01    2.9005e-02    1.1408e-01    8.4067e-03    8.0969e-02    3.8799e-03    2.5791e-02    7.2149e-04    2.5281e-02    1.1725e-03    
# Re = 1000.00, Pe =  10.00, B = 1000.00
1.0000e+03    1.0000e+03    1.0000e+01    9.4000e+01    9.5000e+01    3.1844e+00    2.5974e-02    9.9124e-01    2.8696e-02    4.7555e-02    1.5884e-03    2.3354e+00    2.3867e-02    3.5178e-03    2.7901e-05    1.0138e-03    3.0654e-05    4.2395e+02    1.7276e+01    3.3053e-03    0.0000e+00    5.7046e-02    0.0000e+00    1.3667e-02    0.0000e+00    4.7053e-03    0.0000e+00    3.4773e-03    0.0000e+00    



# Index 004
# Re = 1000.00, Pe = 100.00, B =   3.00
1.0000e+03    3.0000e+00    1.0000e+02    6.5000e+01    9.0000e+01    2.1797e+00    1.3617e-01    1.1190e+00    1.1263e-01    7.7906e-01    7.0858e-02    1.3167e+01    1.1683e+00    4.1305e-01    4.6100e-02    8.5353e+00    1.5645e+00    5.5344e+02    9.1397e+01    7.7115e-01    1.7345e-02    3.0543e-01    3.1623e-02    2.8117e-01    2.9339e-02    3.8675e-01    6.5630e-02    3.9384e-01    6.8175e-02    
# Re = 1000.00, Pe = 100.00, B =  10.00
1.0000e+03    1.0000e+01    1.0000e+02    3.0000e+01    7.0000e+01    2.1541e+00    1.4167e-01    1.1271e+00    1.0315e-01    6.5295e-01    6.0050e-02    1.1983e+01    1.3771e+00    2.2722e-01    1.8236e-02    3.0733e+00    5.2274e-01    4.9444e+02    1.0715e+02    6.9072e-01    3.0037e-02    2.7743e-01    3.4329e-02    2.4863e-01    3.1754e-02    2.2336e-01    3.2222e-02    2.2322e-01    3.3341e-02    
# Re = 1000.00, Pe = 100.00, B =  30.00
1.0000e+03    3.0000e+01    1.0000e+02    5.0000e+01    9.0000e+01    2.1458e+00    1.9562e-01    1.1432e+00    1.4606e-01    4.5997e-01    6.2671e-02    9.8096e+00    1.2660e+00    1.1371e-01    1.4729e-02    9.8372e-01    2.2210e-01    4.0956e+02    8.1081e+01    5.2297e-01    4.1955e-02    2.0797e-01    3.0994e-02    1.7034e-01    2.7852e-02    1.2339e-01    3.2385e-02    1.1793e-01    3.4346e-02    
# Re = 1000.00, Pe = 100.00, B = 100.00
1.0000e+03    1.0000e+02    1.0000e+02    9.0000e+01    1.1000e+02    2.4372e+00    5.1426e-02    1.1655e+00    6.8138e-02    2.6531e-01    2.9181e-02    6.8595e+00    7.2826e-01    4.6348e-02    2.3262e-03    2.1654e-01    2.8897e-02    3.8851e+02    4.0038e+01    2.1767e-01    2.8475e-02    1.2728e-01    1.8169e-02    8.4331e-02    9.2372e-03    5.1018e-02    2.0100e-03    4.3643e-02    2.6619e-04    
# Re = 1000.00, Pe = 100.00, B = 300.00
1.0000e+03    3.0000e+02    1.0000e+02    1.0900e+02    1.2000e+02    2.7989e+00    3.1067e-02    1.0712e+00    6.3181e-02    1.6659e-01    2.5182e-02    3.7503e+00    5.0122e-01    2.3789e-02    6.8599e-04    6.0584e-02    8.9364e-03    4.7232e+02    3.3693e+01    3.4818e-02    7.1995e-03    1.4170e-01    1.7208e-02    5.2291e-02    6.5279e-03    3.3948e-02    2.6990e-03    2.3292e-02    9.6664e-04    



# Index 005
# Re = 600.00, Pe =  60.00, B =   1.00
6.0000e+02    1.0000e+00    6.0000e+01    4.5000e+01    1.2500e+02    1.4231e+00    1.7114e-01    1.4218e+00    1.3658e-01    6.4128e-01    7.3614e-02    8.0412e+00    1.1688e+00    3.5600e-01    2.9278e-02    5.9690e+00    1.1195e+00    2.1041e+02    6.1015e+01    7.5620e-01    2.4100e-02    3.3128e-01    3.9450e-02    2.8603e-01    3.2512e-02    3.5754e-01    3.3206e-02    3.6220e-01    3.2793e-02    
# Re = 600.00, Pe =  60.00, B =   3.00
