#Re    Pe    B    lb    ub    ux_rms    ux_err    uy_rms    uy_err    uz_rms    uz_err    vortz_rms    vortz_err    brms    brms_err    tdisp    tdisp_err    mdisp    mdisp_err    vturb    vturb_err    turb_uzrms    turb_uzrms_err    lam_uzrms    lam_uzrms_err    turb_brms    turb_brms_err    lam_brms    lam_brms_err    uh_rms    uh_rms_err    
# Index 000
6.0002e+02    3.0003e+01    3.0000e+01    4.0000e+02    4.8000e+02    2.1001e+00    1.4134e-01    1.0828e+00    9.8852e-02    4.1413e-01    6.3270e-02    7.3328e+00    1.1062e+00    8.8528e-02    1.0127e-02    3.1377e-01    7.2822e-02    2.5214e+02    5.8200e+01    4.3645e-01    5.0092e-02    1.9485e-01    3.2385e-02    1.5575e-01    2.4897e-02    9.1375e-02    1.1346e-02    8.4950e-02    1.0010e-02    2.3655e+00    1.3042e-01    
# Re = 600.02, Pe =  30.00, B = 100.00
6.0002e+02    3.0003e+01    1.0000e+02    3.0000e+02    4.0000e+02    2.2680e+00    1.9028e-01    1.0531e+00    1.0433e-01    2.5508e-01    4.1365e-02    5.6020e+00    1.2129e+00    3.6441e-02    3.9835e-03    7.8678e-02    1.8522e-02    2.9107e+02    5.7165e+01    1.7378e-01    5.3287e-02    1.3942e-01    2.6155e-02    9.0235e-02    1.4060e-02    4.1175e-02    5.1327e-03    3.5305e-02    3.7631e-03    2.5060e+00    1.4114e-01    



# Index 002
# Re = 600.02, Pe =  60.00, B =   0.10
6.0002e+02    6.0002e+01    1.0000e-01    2.7500e+02    4.0000e+02    1.5443e+00    2.5797e-01    1.5098e+00    2.2559e-01    9.4761e-01    1.2005e-01    1.0353e+01    1.7692e+00    8.7239e-01    9.6240e-02    2.2853e+01    5.7888e+00    3.3872e+02    1.1088e+02    8.8243e-01    2.6459e-02    4.4200e-01    5.2240e-02    4.0744e-01    5.6955e-02    8.7170e-01    9.6488e-02    9.0634e-01    1.0688e-01    2.1806e+00    1.6377e-01    
# Re =   0.00, Pe =   0.00, B =   0.00
0.0000e+00    0.0000e+00    0.0000e+00    1.8000e+02    3.2000e+02    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    
# Re =   0.00, Pe =   0.00, B =   0.00
0.0000e+00    0.0000e+00    0.0000e+00    2.2000e+02    4.5000e+02    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    
# Re =   0.00, Pe =   0.00, B =   0.00
0.0000e+00    0.0000e+00    0.0000e+00    3.7500e+02    5.6000e+02    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    
# Re =   0.00, Pe =   0.00, B =   0.00
0.0000e+00    0.0000e+00    0.0000e+00    1.5000e+02    3.0000e+02    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    
# Re = 600.02, Pe =  60.00, B = 400.00
6.0002e+02    6.0002e+01    4.0000e+02    2.2500e+02    4.6000e+02    2.6903e+00    2.2853e-01    1.0487e+00    7.6966e-02    1.2118e-01    6.2151e-02    2.9551e+00    9.6997e-01    1.4918e-02    2.6690e-03    2.4798e-02    1.2471e-02    4.0374e+02    6.9220e+01    1.4371e-02    1.0988e-02    1.3531e-01    7.3917e-02    3.5558e-02    1.4889e-02    2.7988e-02    8.5233e-03    1.4428e-02    2.0095e-03    2.8904e+00    2.0265e-01    
# Re = 600.02, Pe =  60.00, B = 1000.00
