#Re    B    Pr    Pe    BPe    lb    ub    uh_rms    uh_err    vortz_rms    vortz err    wrms    wrms err    tdisp    tdisp_err    mdisp    mdisp_err    eta (local)    eta (local) err    eta (global)    eta (global) err    lam wrms    lam wrms err    lam tdisp    lam tdisp err    lam mdisp    lam mdisp err    lam eta (local)    lam eta (local) err    lam eta (global)    lam eta (global) err    turb wrms    turb wrms err    turb tdisp    turb tdisp err    turb mdisp    turb mdisp err    turb eta (local)    turb eta (local) err    turb eta (global)    turb eta (global) err    vlam avg    vlam err    vturb avg    vturb err    lam wrms wght    lam wrms wght err    turb wrms wght    turb wrms wght err    lam wrms eff wght    lam wrms eff wght err    turb wrms eff wght    turb wrms eff wght err    trms    trms err    lam trms    lam trms err    turb trms    turb trms err    lam trms wght    lam trms wght err    turb trms wght    turb trms wght err    lam trms eff wght    lam trms eff wght err    turb trms eff wght    turb trms eff wght err    bflux    bflux err    lam bflux    lam bflux err    turb bflux    turb bflux err    lam bflux wght    lam bflux wght err    turb bflux wght    turb bflux wght err    lam bflux eff wght    lam bflux eff wght err    turb bflux eff wght    turb bflux eff wght err    

# Index 008: Re = 1000.00, Pe = 100.00
1.0000e+03    1.0000e+01    1.0000e-01    1.0000e+02    1.0000e+03    3.0000e+01    7.0000e+01    2.4315e+00    9.9153e-02    1.2182e+01    1.7923e+00    6.5385e-01    8.3191e-02    3.0027e+00    1.0123e+00    5.1052e+02    1.4159e+02    4.5871e-01    7.9959e-02    3.5710e-01    9.3393e-02    6.0442e-01    7.7232e-02    2.7499e+00    9.1835e-01    2.3028e+02    5.3812e+01    5.4641e-01    8.6695e-02    5.2008e-01    1.2508e-01    6.7447e-01    8.3581e-02    3.1111e+00    1.0459e+00    6.3169e+02    1.6385e+02    4.1336e-01    8.0082e-02    3.1829e-01    8.4774e-02    3.0915e-01    2.9334e-02    6.9085e-01    2.9334e-02    6.0018e-01    7.7920e-02    8.1659e-01    1.1884e-01    2.4694e-01    3.1040e-02    3.3584e-01    4.6560e-02    2.2331e-01    3.2557e-02    2.2322e-01    3.3342e-02    2.2336e-01    3.2223e-02    2.2305e-01    3.3607e-02    2.2654e-01    3.2119e-02    9.1856e-02    1.4004e-02    9.3331e-02    1.3670e-02    1.6127e-01    3.7788e-02    1.4845e-01    3.4489e-02    1.6650e-01    3.8655e-02    1.4697e-01    3.4629e-02    2.0181e-01    5.0028e-02    6.0446e-02    1.3920e-02    8.3000e-02    2.0090e-02    
# Index 009: Re = 1000.00, Pe = 100.00
1.0000e+03    1.0000e+02    1.0000e-01    1.0000e+02    1.0000e+04    9.0000e+01    1.1000e+02    2.7178e+00    9.2763e-03    7.1822e+00    4.0076e-01    2.8095e-01    2.3104e-02    2.3889e-01    2.3957e-02    4.0735e+02    2.5009e+01    4.7501e-01    6.6265e-05    3.6897e-01    9.1136e-03    2.4162e-01    1.8944e-02    1.8782e-01    1.6675e-02    2.5494e+02    1.0183e+01    4.9414e-01    4.0613e-04    4.2348e-01    1.1973e-02    3.9287e-01    2.7265e-02    4.2583e-01    3.6803e-02    9.6717e+02    3.7795e+01    3.9641e-01    4.2066e-03    3.0515e-01    1.0078e-02    7.8649e-01    1.2539e-02    2.1351e-01    1.2539e-02    2.2046e-01    1.7407e-02    5.4799e-01    1.2588e-02    8.1137e-02    6.6818e-03    2.0164e-01    5.3198e-03    4.6828e-02    7.8562e-04    4.4453e-02    1.1823e-03    5.4628e-02    1.5224e-04    4.1878e-02    1.2061e-03    6.0582e-02    5.3407e-04    1.5407e-02    3.9117e-04    2.2291e-02    2.7259e-04    1.7851e-02    1.7093e-03    1.3856e-02    1.3228e-03    2.7993e-02    2.0703e-03    1.1923e-02    1.2728e-03    4.1709e-02    1.1813e-03    4.3886e-03    4.8328e-04    1.5348e-02    4.8705e-04    
# Index 010: Re = 1000.00, Pe = 100.00
1.0000e+03    3.0000e+00    1.0000e-01    1.0000e+02    3.0000e+02    6.5000e+01    9.0000e+01    2.4773e+00    7.3276e-02    1.2217e+01    1.0759e+00    7.3527e-01    7.7029e-02    7.2634e+00    2.0035e+00    4.8418e+02    8.0328e+01    4.1579e-01    4.3685e-02    3.0691e-01    6.0715e-02    6.8895e-01    7.1921e-02    7.0181e+00    1.9682e+00    2.2496e+02    3.6727e+01    5.0619e-01    4.5419e-02    4.7492e-01    7.8328e-02    7.4844e-01    7.7609e-02    7.3366e+00    2.0100e+00    5.6064e+02    8.6800e+01    3.8464e-01    4.4008e-02    2.7896e-01    5.6597e-02    2.2986e-01    1.5756e-02    7.7014e-01    1.5756e-02    6.8546e-01    7.1784e-02    8.7477e-01    9.9024e-02    2.7645e-01    2.4680e-02    3.5268e-01    3.3647e-02    3.8833e-01    6.6098e-02    3.9383e-01    6.8170e-02    3.8673e-01    6.5630e-02    3.9424e-01    6.8362e-02    3.7510e-01    6.1751e-02    1.5936e-01    2.7874e-02    1.5175e-01    2.5985e-02    3.0713e-01    7.5897e-02    2.9275e-01    7.4437e-02    3.1127e-01    7.6164e-02    2.9117e-01    7.4260e-02    3.4277e-01    7.8895e-02    1.1746e-01    2.8760e-02    1.3835e-01    3.0683e-02    
# Index 011: Re = 1000.00, Pe = 100.00
1.0000e+03    3.0000e+01    1.0000e-01    1.0000e+02    3.0000e+03    5.0000e+01    9.0000e+01    2.4389e+00    1.3289e-01    9.9099e+00    1.3450e+00    4.6469e-01    7.3784e-02    1.1264e+00    5.7411e-01    4.0880e+02    8.3501e+01    5.2847e-01    4.5689e-02    4.3683e-01    7.5644e-02    4.1417e-01    6.7826e-02    9.7040e-01    5.4094e-01    1.9305e+02    2.7069e+01    5.9465e-01    4.8232e-02    5.7696e-01    7.3302e-02    5.0584e-01    7.6013e-02    1.2651e+00    5.8950e-01    6.0239e+02    1.1879e+02    4.5949e-01    4.8700e-02    3.7489e-01    7.4709e-02    4.7723e-01    3.7004e-02    5.2277e-01    3.7004e-02    4.0568e-01    7.0542e-02    6.6869e-01    1.2568e-01    1.6631e-01    2.6843e-02    2.7335e-01    4.3073e-02    1.2080e-01    3.3260e-02    1.1792e-01    3.4347e-02    1.2341e-01    3.2389e-02    1.1624e-01    3.4261e-02    1.2971e-01    3.2533e-02    4.7637e-02    1.3399e-02    5.3102e-02    1.2414e-02    6.6636e-02    3.0373e-02    5.7717e-02    2.8587e-02    7.3568e-02    3.1443e-02    5.5929e-02    2.9102e-02    1.0074e-01    4.3164e-02    2.2815e-02    1.1414e-02    4.0959e-02    1.6289e-02    
# Index 012: Re = 1000.00, Pe = 100.00
1.0000e+03    3.0000e+02    1.0000e-01    1.0000e+02    3.0000e+04    1.0900e+02    1.2000e+02    2.9811e+00    1.8740e-02    3.6984e+00    2.0765e-01    1.5774e-01    1.3237e-02    5.5999e-02    4.4818e-03    4.7448e+02    3.3537e+01    3.9405e-01    8.0280e-03    2.6135e-01    1.8156e-03    1.4468e-01    1.1881e-02    5.0086e-02    3.2802e-03    4.2187e+02    2.7587e+01    3.9559e-01    7.7935e-03    2.6263e-01    1.9110e-05    3.8856e-01    1.3154e-02    2.4263e-01    1.6912e-02    2.1566e+03    9.8910e+00    3.4173e-01    8.9667e-03    2.5214e-01    1.4019e-02    9.6958e-01    4.0873e-03    3.0421e-02    4.0873e-03    1.3064e-01    9.2659e-03    4.8841e-01    5.7551e-02    4.3843e-02    3.3838e-03    1.6396e-01    2.0336e-02    2.2975e-02    2.1185e-04    2.2628e-02    2.8841e-04    3.2035e-02    4.2099e-04    2.1911e-02    7.3377e-04    3.3717e-02    2.0417e-03    7.3488e-03    1.9994e-04    1.1315e-02    7.5601e-04    5.3668e-03    4.6838e-04    4.5040e-03    2.8076e-04    1.7236e-02    1.3698e-03    3.6655e-03    9.4802e-05    2.2533e-02    3.8554e-03    1.2298e-03    3.9532e-05    7.5669e-03    1.3408e-03    



# Index 013: Re = 300.03, Pe =  30.00
3.0003e+02    1.0000e-02    1.0000e-01    3.0003e+01    3.0003e-01    3.7000e+02    4.6000e+02    2.2327e+00    1.1976e-01    6.9655e+00    6.6867e-01    9.7277e-01    7.4871e-02    1.5850e+01    3.4293e+00    1.5441e+02    2.6334e+01    4.9951e-02    1.0870e-02    1.0263e-02    1.9852e-03    9.0538e-01    7.0176e-02    1.5834e+01    3.6677e+00    7.5573e+01    1.2410e+01    7.5691e-02    1.6514e-02    2.0702e-02    4.4262e-03    9.7982e-01    7.5323e-02    1.5855e+01    3.4060e+00    1.6272e+02    2.7099e+01    4.6320e-02    9.8703e-03    9.7363e-03    1.8469e-03    9.6564e-02    1.2666e-02    9.0344e-01    1.2666e-02    8.9978e-01    7.2945e-02    1.1296e+00    9.8834e-02    4.0419e-01    3.9417e-02    5.0647e-01    4.2294e-02    1.1660e+00    2.3707e-01    1.2266e+00    2.5124e-01    1.1592e+00    2.3589e-01    1.2271e+00    2.5130e-01    1.0529e+00    2.4162e-01    5.4848e-01    1.0259e-01    4.7131e-01    1.0343e-01    1.2730e+00    2.5173e-01    1.2704e+00    2.4145e-01    1.2734e+00    2.5416e-01    1.2607e+00    2.2492e-01    1.2978e+00    3.3713e-01    5.6505e-01    9.8887e-02    5.8096e-01    1.4509e-01    
# Index 014: Re = 300.03, Pe =  30.00
3.0003e+02    1.0000e-01    1.0000e-01    3.0003e+01    3.0003e+00    2.6000e+02    4.6000e+02    2.1689e+00    1.1225e-01    7.1216e+00    9.0023e-01    9.3646e-01    8.1876e-02    1.1182e+01    2.3839e+00    1.6174e+02    3.8039e+01    1.7799e-01    2.1171e-02    6.6070e-02    1.1676e-02    8.6539e-01    8.5770e-02    1.1179e+01    2.5698e+00    8.0276e+01    2.0948e+01    2.4075e-01    2.6208e-02    1.2475e-01    2.0159e-02    9.5019e-01    8.0438e-02    1.1194e+01    2.3575e+00    1.7711e+02    3.8849e+01    1.6276e-01    1.8250e-02    6.0516e-02    1.0558e-02    1.6266e-01    2.8027e-02    8.3734e-01    2.8027e-02    8.6259e-01    8.8274e-02    1.0980e+00    8.9894e-02    3.9869e-01    4.5410e-02    5.0696e-01    4.2361e-02    8.3291e-01    9.2460e-02    8.5662e-01    9.9209e-02    8.2866e-01    9.1939e-02    8.5618e-01    9.6806e-02    7.7507e-01    8.7424e-02    3.9628e-01    5.2759e-02    3.5863e-01    4.7252e-02    9.0263e-01    1.3589e-01    8.8251e-01    1.5052e-01    9.0739e-01    1.3326e-01    8.8016e-01    1.5162e-01    9.2493e-01    1.2387e-01    4.0714e-01    7.4336e-02    4.2730e-01    5.9106e-02    
# Index 015: Re = 300.03, Pe =  30.00
3.0003e+02    1.0000e+00    1.0000e-01    3.0003e+01    3.0003e+01    1.4000e+02    2.8000e+02    2.1480e+00    1.7327e-01    6.2749e+00    1.3253e+00    8.2925e-01    1.0417e-01    5.3307e+00    1.3077e+00    1.3218e+02    5.3740e+01    4.1338e-01    3.8125e-02    2.9899e-01    4.1581e-02    7.5685e-01    1.0656e-01    5.1579e+00    1.4714e+00    6.7518e+01    2.8326e+01    4.9262e-01    3.4460e-02    4.4442e-01    4.4010e-02    8.6343e-01    9.8841e-02    5.4567e+00    1.2297e+00    1.5936e+02    5.6317e+01    3.7099e-01    2.7385e-02    2.6276e-01    3.4563e-02    3.1051e-01    7.7412e-02    6.8949e-01    7.7412e-02    7.4479e-01    1.0837e-01    1.0172e+00    1.1020e-01    3.4805e-01    5.1222e-02    4.7535e-01    5.3588e-02    5.5141e-01    5.4355e-02    5.5855e-01    6.0476e-02    5.4959e-01    5.3177e-02    5.5785e-01    6.2741e-02    5.3025e-01    5.1066e-02    2.6113e-01    3.4030e-02    2.4847e-01    3.0894e-02    5.1748e-01    1.0222e-01    4.8841e-01    1.0734e-01    5.3282e-01    9.9355e-02    4.8424e-01    1.1233e-01    5.8018e-01    9.9974e-02    2.2567e-01    4.9924e-02    2.7084e-01    4.5302e-02    
# Index 016: Re = 300.03, Pe =  30.00
3.0003e+02    1.0000e+01    1.0000e-01    3.0003e+01    3.0003e+02    6.0000e+01    1.6000e+02    2.4400e+00    1.6003e-01    5.8410e+00    7.4133e-01    6.1525e-01    8.2589e-02    1.0458e+00    2.0671e-01    1.3482e+02    3.1039e+01    5.1670e-01    8.0671e-03    4.3843e-01    1.1409e-02    5.7114e-01    7.5753e-02    9.6443e-01    1.9644e-01    7.6709e+01    1.4950e+01    5.7825e-01    7.1730e-03    5.5654e-01    1.0828e-02    6.5681e-01    8.4005e-02    1.1277e+00    2.0919e-01    1.9223e+02    3.8190e+01    4.4534e-01    6.6638e-03    3.7022e-01    9.4743e-03    5.0399e-01    4.2432e-02    4.9601e-01    4.2432e-02    5.6699e-01    7.4860e-02    7.6935e-01    1.1179e-01    2.3316e-01    3.2864e-02    3.1626e-01    4.7413e-02    2.0933e-01    2.0868e-02    2.0769e-01    2.0903e-02    2.1099e-01    2.0807e-02    2.0626e-01    2.1964e-02    2.1114e-01    2.2400e-02    8.4747e-02    9.1891e-03    8.6774e-02    9.5106e-03    1.4516e-01    3.2174e-02    1.3335e-01    2.9538e-02    1.5610e-01    3.3409e-02    1.3126e-01    3.0686e-02    1.8058e-01    4.3260e-02    5.3868e-02    1.2241e-02    7.4116e-02    1.7234e-02    
# Index 017: Re = 300.03, Pe =  30.00
3.0003e+02    1.0000e+02    1.0000e-01    3.0003e+01    3.0003e+03    3.0000e+02    1.2000e+03    2.9185e+00    2.9566e-01    2.4755e+00    5.7775e-01    1.6989e-01    5.3544e-02    4.3180e-02    1.5415e-02    1.1130e+02    2.6039e+01    4.4507e-01    2.4378e-02    2.7496e-01    3.7740e-02    1.5773e-01    4.4013e-02    3.8622e-02    1.1781e-02    9.5656e+01    1.8454e+01    4.4830e-01    2.4691e-02    2.8419e-01    3.8667e-02    3.6862e-01    1.4745e-01    1.6789e-01    8.0436e-02    5.7632e+02    1.2843e+02    3.1852e-01    4.3625e-02    2.1732e-01    5.5879e-02    9.6961e-01    1.4546e-02    3.0393e-02    1.4546e-02    1.4518e-01    3.6227e-02    3.7962e-01    1.8678e-01    4.9566e-02    1.0422e-02    1.2949e-01    6.1319e-02    3.5354e-02    5.1834e-03    3.4609e-02    4.7965e-03    5.1788e-02    1.0822e-02    3.2460e-02    4.3879e-03    4.9825e-02    1.2187e-02    1.1144e-02    1.2157e-03    1.7107e-02    3.9258e-03    1.0127e-02    5.8140e-03    8.7033e-03    4.4810e-03    2.8449e-02    1.7726e-02    7.1927e-03    3.5099e-03    2.9948e-02    2.1405e-02    2.4356e-03    1.0931e-03    1.0151e-02    7.0293e-03    
# Index 018: Re = 300.03, Pe =  30.00
3.0003e+02    1.0000e+03    1.0000e-01    3.0003e+01    3.0003e+04    8.0000e+02    1.3000e+03    3.8050e+00    2.2206e-01    1.7668e+00    1.8204e-01    2.1253e-02    2.2562e-03    2.7325e-03    5.8170e-04    1.6636e+02    2.7142e+01    2.7193e-01    2.9754e-02    1.4159e-01    2.4392e-02    2.1253e-02    2.2562e-03    2.7323e-03    5.8155e-04    1.6636e+02    2.7144e+01    2.7193e-01    2.9754e-02    1.4159e-01    2.4387e-02    3.1795e-02    9.4130e-03    4.9874e-02    1.8964e-02    1.2451e+03    6.7821e+02    3.1014e-01    7.1710e-02    3.0806e-01    7.1430e-02    1.0000e+00    1.6412e-05    3.1777e-06    1.6412e-05    1.8375e-02    2.0208e-03    2.4310e-02    3.0431e-03    4.8326e-03    4.7987e-04    6.4129e-03    9.0365e-04    5.6937e-03    7.1774e-04    5.6937e-03    7.1774e-04    6.5216e-03    2.2174e-03    4.9820e-03    5.1656e-04    6.8240e-03    1.0365e-03    1.3138e-03    1.5671e-04    1.8055e-03    3.3624e-04    1.9447e-04    4.9037e-05    1.9447e-04    4.9037e-05    3.0885e-04    1.7372e-04    1.4031e-04    3.6492e-05    2.5849e-04    6.9244e-05    3.6883e-05    9.2071e-06    6.8427e-05    1.9963e-05    
# Index 019: Re = 300.03, Pe =  30.00
