#Re    B    Pr    Pe    BPe    t    uh_rms    vortz_rms    wrms    tdisp    mdisp    eta (local)    eta (global)    lam wrms    lam tdisp    lam mdisp    lam eta (local)    lam eta (global)    turb wrms    turb tdisp    turb mdisp    turb eta (local)    turb eta (global)    vlam    vturb    lam wrms wght    turb wrms wght    lam wrms eff wght    turb wrms eff wght    trms    lam trms    turb trms    lam trms wght    turb trms wght    lam trms eff wght    turb trms eff wght    bflux    lam bflux    turb bflux    lam bflux wght    turb bflux wght    lam bflux eff wght    turb bflux eff wght    
# Index 000: Re = 600.00, Pe =  60.00, B = 300.00
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    3.7108e+01    3.0976e+00    5.5903e+00    3.2082e-01    1.4848e-01    5.2055e+02    5.4743e-01    4.6113e-01    2.9393e-01    1.3431e-01    4.1294e+02    5.5455e-01    4.9386e-01    5.4815e-01    3.1790e-01    1.8063e+03    4.5375e-01    3.4554e-01    9.2277e-01    7.7225e-02    2.5864e-01    7.1172e-01    8.3499e-02    2.2977e-01    4.6454e-02    4.5505e-02    5.6577e-02    4.3042e-02    5.6741e-02    1.3895e-02    1.8318e-02    1.7522e-02    1.5364e-02    3.3988e-02    1.2453e-02    4.3647e-02    4.0203e-03    1.4091e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    3.8400e+01    2.5929e+00    4.4591e+00    2.3324e-01    9.3918e-02    4.7793e+02    4.8970e-01    3.7088e-01    2.1764e-01    8.5238e-02    4.0386e+02    4.9517e-01    3.8769e-01    3.9416e-01    2.1844e-01    1.5405e+03    4.0302e-01    2.9843e-01    9.3484e-01    6.5161e-02    1.9212e-01    4.9179e-01    7.4097e-02    1.8967e-01    3.7353e-02    3.6840e-02    4.4065e-02    3.4973e-02    4.5221e-02    1.3488e-02    1.7440e-02    1.0340e-02    9.1843e-03    2.0749e-02    7.5916e-03    2.7842e-02    2.9279e-03    1.0738e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    3.9994e+01    2.2388e+00    2.3896e+00    1.3434e-01    4.7181e-02    3.5147e+02    4.4037e-01    2.8710e-01    1.3012e-01    4.5825e-02    3.3867e+02    4.4124e-01    2.8872e-01    2.7922e-01    1.2000e-01    1.0386e+03    3.9098e-01    2.5739e-01    9.8171e-01    1.8289e-02    1.2063e-01    2.8677e-01    5.3880e-02    1.2809e-01    2.5561e-02    2.5468e-02    3.0123e-02    2.4965e-02    2.9482e-02    1.1151e-02    1.3168e-02    4.0282e-03    3.7315e-03    1.1825e-02    3.3502e-03    1.4332e-02    1.4964e-03    6.4015e-03    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    4.1848e+01    2.0055e+00    1.8008e+00    8.9752e-02    2.3798e-02    2.5148e+02    4.0123e-01    2.2112e-01    8.9210e-02    2.3528e-02    2.4995e+02    4.0106e-01    2.2021e-01    1.7275e-01    8.4513e-02    5.9468e+02    4.3686e-01    2.9891e-01    9.9557e-01    4.4287e-03    8.8537e-02    1.1395e-01    4.4146e-02    5.6818e-02    1.8584e-02    1.8565e-02    2.2502e-02    1.7176e-02    2.0928e-02    8.5645e-03    1.0435e-02    1.7786e-03    1.7489e-03    5.1677e-03    1.5645e-03    2.9398e-03    7.8010e-04    1.4659e-03    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    4.4149e+01    1.9564e+00    1.9601e+00    9.8742e-02    2.9596e-02    2.1621e+02    4.3651e-01    2.9111e-01    9.5833e-02    2.9017e-02    2.1404e+02    4.3637e-01    2.8912e-01    3.0430e-01    1.1429e-01    5.3331e+02    4.5637e-01    3.9133e-01    9.9321e-01    6.7855e-03    8.6712e-02    1.6595e-01    4.4323e-02    8.4824e-02    2.1136e-02    2.1099e-02    2.6023e-02    1.9911e-02    2.3721e-02    1.0178e-02    1.2125e-02    2.6143e-03    2.4806e-03    1.0322e-02    1.9853e-03    5.4666e-03    1.0148e-03    2.7943e-03    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    4.6382e+01    1.9224e+00    2.1786e+00    8.3205e-02    3.0077e-02    2.2038e+02    4.4083e-01    2.9050e-01    8.2817e-02    2.9690e-02    2.1848e+02    4.4064e-01    2.8962e-01    1.1116e-01    6.2687e-02    3.8083e+02    4.5654e-01    3.3058e-01    9.8828e-01    1.1722e-02    7.9779e-02    9.4571e-02    4.1499e-02    4.9194e-02    1.9699e-02    1.9613e-02    2.5993e-02    1.8848e-02    2.2093e-02    9.8045e-03    1.1492e-02    2.1343e-03    2.1101e-03    3.6361e-03    1.9073e-03    2.7285e-03    9.9216e-04    1.4193e-03    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    4.8495e+01    1.8784e+00    2.1985e+00    9.3751e-02    3.0098e-02    2.3098e+02    4.4335e-01    2.8105e-01    9.1008e-02    2.9530e-02    2.2569e+02    4.4416e-01    2.8189e-01    2.0487e-01    6.7258e-02    5.7731e+02    3.8719e-01    2.5899e-01    9.8496e-01    1.5042e-02    8.4980e-02    1.5723e-01    4.5240e-02    8.3705e-02    1.9381e-02    1.9318e-02    2.3095e-02    1.7825e-02    2.2142e-02    9.4891e-03    1.1787e-02    2.3070e-03    2.1626e-03    6.8991e-03    1.7359e-03    5.1232e-03    9.2410e-04    2.7274e-03    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    5.1156e+01    1.7110e+00    1.9690e+00    6.5831e-02    2.1300e-02    1.7950e+02    4.2344e-01    2.6253e-01    6.5613e-02    2.0980e-02    1.7859e+02    4.2305e-01    2.6059e-01    8.4970e-02    5.3553e-02    2.7151e+02    4.6103e-01    3.7175e-01    9.9017e-01    9.8332e-03    6.2000e-02    7.2968e-02    3.6236e-02    4.2647e-02    1.6066e-02    1.6048e-02    1.7785e-02    1.4891e-02    1.7740e-02    8.7032e-03    1.0368e-02    1.3172e-03    1.3109e-03    1.8446e-03    1.0947e-03    1.6530e-03    6.3981e-04    9.6609e-04    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    5.3687e+01    1.8258e+00    2.0709e+00    7.5077e-02    2.8864e-02    1.6283e+02    4.7602e-01    3.4717e-01    7.4837e-02    2.8656e-02    1.6138e+02    4.7633e-01    3.4756e-01    9.6953e-02    5.0586e-02    3.1436e+02    4.4271e-01    3.2558e-01    9.9053e-01    9.4705e-03    7.4223e-02    8.0628e-02    4.0652e-02    4.4160e-02    2.0562e-02    2.0556e-02    2.1197e-02    1.9491e-02    2.1674e-02    1.0675e-02    1.1871e-02    1.9450e-03    1.9355e-03    2.7598e-03    1.7362e-03    2.3012e-03    9.5091e-04    1.2604e-03    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    5.5828e+01    2.1156e+00    2.2647e+00    8.2641e-02    2.8840e-02    1.8100e+02    4.6264e-01    3.2341e-01    8.2140e-02    2.8459e-02    1.7804e+02    4.6307e-01    3.2411e-01    1.1118e-01    5.4389e-02    3.7929e+02    4.3335e-01    3.0079e-01    9.8529e-01    1.4709e-02    7.6327e-02    9.5563e-02    3.6078e-02    4.5170e-02    1.9922e-02    1.9865e-02    2.3459e-02    1.8692e-02    2.2278e-02    8.8352e-03    1.0530e-02    1.9656e-03    1.9429e-03    3.1345e-03    1.7100e-03    2.5666e-03    8.0828e-04    1.2132e-03    
